Top 10 documents in the rank list
Query: 150 	 Pr: 0.06000 	 Re: 1.00000
Query: 151 	 Pr: 0.06000 	 Re: 0.50000
Query: 152 	 Pr: 0.04000 	 Re: 0.28571
Query: 153 	 Pr: 0.12000 	 Re: 0.75000
Query: 154 	 Pr: 0.06000 	 Re: 1.00000
Query: 155 	 Pr: 0.08000 	 Re: 0.57143
Query: 156 	 Pr: 0.22000 	 Re: 0.73333
Query: 157 	 Pr: 0.42000 	 Re: 0.52500
Query: 158 	 Pr: 0.10000 	 Re: 0.55556
Query: 159 	 Pr: 0.08000 	 Re: 0.44444
Query: 160 	 Pr: 0.04000 	 Re: 0.33333
Query: 161 	 Pr: 0.12000 	 Re: 0.85714
Query: 162 	 Pr: 0.10000 	 Re: 0.55556
Query: 163 	 Pr: 0.06000 	 Re: 0.75000
Query: 164 	 Pr: 0.18000 	 Re: 1.00000
Query: 165 	 Pr: 0.06000 	 Re: 1.00000
Query: 166 	 Pr: 0.04000 	 Re: 0.22222
Query: 167 	 Pr: 0.04000 	 Re: 0.66667
Query: 168 	 Pr: 0.06000 	 Re: 1.00000
Query: 169 	 Pr: 0.08000 	 Re: 0.80000
Query: 170 	 Pr: 0.12000 	 Re: 0.85714
Query: 171 	 Pr: 0.08000 	 Re: 1.00000
Query: 172 	 Pr: 0.10000 	 Re: 1.00000
Query: 173 	 Pr: 0.06000 	 Re: 1.00000
Query: 174 	 Pr: 0.08000 	 Re: 0.66667
Query: 175 	 Pr: 0.06000 	 Re: 0.50000
Query: 176 	 Pr: 0.08000 	 Re: 0.50000
Query: 177 	 Pr: 0.12000 	 Re: 1.00000
Query: 178 	 Pr: 0.10000 	 Re: 1.00000
Query: 179 	 Pr: 0.08000 	 Re: 0.80000
Query: 180 	 Pr: 0.14000 	 Re: 0.87500
Query: 181 	 Pr: 0.06000 	 Re: 0.50000
Query: 182 	 Pr: 0.06000 	 Re: 1.00000
Query: 183 	 Pr: 0.24000 	 Re: 0.85714
Query: 184 	 Pr: 0.12000 	 Re: 0.75000
Query: 185 	 Pr: 0.20000 	 Re: 1.00000
Query: 186 	 Pr: 0.12000 	 Re: 0.35294
Query: 187 	 Pr: 0.10000 	 Re: 0.71429
Query: 188 	 Pr: 0.18000 	 Re: 0.75000
Query: 189 	 Pr: 0.14000 	 Re: 0.70000
Query: 190 	 Pr: 0.12000 	 Re: 1.00000
Query: 191 	 Pr: 0.26000 	 Re: 0.92857
Query: 192 	 Pr: 0.08000 	 Re: 0.80000
Query: 193 	 Pr: 0.18000 	 Re: 0.90000
Query: 194 	 Pr: 0.12000 	 Re: 0.85714
Query: 195 	 Pr: 0.06000 	 Re: 0.75000
Query: 196 	 Pr: 0.12000 	 Re: 0.46154
Query: 197 	 Pr: 0.08000 	 Re: 1.00000
Query: 198 	 Pr: 0.08000 	 Re: 0.80000
Query: 199 	 Pr: 0.10000 	 Re: 0.55556
Query: 200 	 Pr: 0.08000 	 Re: 1.00000
Query: 201 	 Pr: 0.16000 	 Re: 0.47059
Query: 202 	 Pr: 0.16000 	 Re: 0.53333
Query: 203 	 Pr: 0.14000 	 Re: 0.46667
Query: 204 	 Pr: 0.06000 	 Re: 0.20000
Query: 205 	 Pr: 0.06000 	 Re: 1.00000
Query: 206 	 Pr: 0.06000 	 Re: 0.75000
Query: 207 	 Pr: 0.10000 	 Re: 0.83333
Query: 208 	 Pr: 0.14000 	 Re: 1.00000
Query: 209 	 Pr: 0.14000 	 Re: 0.53846
Query: 210 	 Pr: 0.10000 	 Re: 0.71429
Query: 211 	 Pr: 0.18000 	 Re: 0.75000
Query: 212 	 Pr: 0.20000 	 Re: 0.66667
Query: 213 	 Pr: 0.20000 	 Re: 0.83333
Query: 214 	 Pr: 0.08000 	 Re: 0.80000
Query: 215 	 Pr: 0.04000 	 Re: 0.66667
Query: 216 	 Pr: 0.00000 	 Re: 0.00000
Query: 217 	 Pr: 0.16000 	 Re: 0.50000
Query: 218 	 Pr: 0.20000 	 Re: 0.62500
Query: 219 	 Pr: 0.10000 	 Re: 0.26316
Query: 220 	 Pr: 0.18000 	 Re: 0.45000
Query: 221 	 Pr: 0.14000 	 Re: 0.36842
Query: 222 	 Pr: 0.18000 	 Re: 0.90000
Query: 223 	 Pr: 0.08000 	 Re: 0.80000
Query: 224 	 Pr: 0.14000 	 Re: 0.77778
Query: 225 	 Pr: 0.08000 	 Re: 0.16000
Avg Precision: 0.10551
Avg Recall: 0.69494

Top 100 documents in the rank list
Query: 1 	 Pr: 0.15000 	 Re: 0.51724
Query: 2 	 Pr: 0.09000 	 Re: 0.36000
Query: 3 	 Pr: 0.09000 	 Re: 1.00000
Query: 4 	 Pr: 0.03000 	 Re: 1.00000
Query: 5 	 Pr: 0.04000 	 Re: 0.80000
Query: 6 	 Pr: 0.04000 	 Re: 0.80000
Query: 7 	 Pr: 0.04000 	 Re: 0.66667
Query: 8 	 Pr: 0.11000 	 Re: 0.91667
Query: 9 	 Pr: 0.04000 	 Re: 1.00000
Query: 10 	 Pr: 0.07000 	 Re: 0.77778
Query: 11 	 Pr: 0.08000 	 Re: 1.00000
Query: 12 	 Pr: 0.05000 	 Re: 0.83333
Query: 13 	 Pr: 0.01000 	 Re: 0.20000
Query: 14 	 Pr: 0.02000 	 Re: 0.66667
Query: 15 	 Pr: 0.02000 	 Re: 0.66667
Query: 16 	 Pr: 0.04000 	 Re: 1.00000
Query: 17 	 Pr: 0.02000 	 Re: 0.66667
Query: 18 	 Pr: 0.03000 	 Re: 0.75000
Query: 19 	 Pr: 0.03000 	 Re: 0.30000
Query: 20 	 Pr: 0.10000 	 Re: 1.00000
Query: 21 	 Pr: 0.04000 	 Re: 0.80000
Query: 22 	 Pr: 0.00000 	 Re: 0.00000
Query: 23 	 Pr: 0.17000 	 Re: 0.51515
Query: 24 	 Pr: 0.04000 	 Re: 1.00000
Query: 25 	 Pr: 0.08000 	 Re: 0.80000
Query: 26 	 Pr: 0.05000 	 Re: 0.71429
Query: 27 	 Pr: 0.03000 	 Re: 0.75000
